date,pm2.5,temp,pressure,wind,wind_speed,Is,Ir
2017-1-1,23,10,1015,NW,48.73,0,0
2017-1-2,95,5,1019,cv,1.78,0,0
2017-1-3,25,8,1023,NW,20.56,0,0
2017-1-4,173,0,1023,NE,1.79,0,0
2017-1-5,54,5,1025,NE,3.13,0,0
2017-1-6,150,0,1026,SE,18.78,0,0
2017-1-7,102,3,1027,NE,8.94,0,0
2017-1-8,22,0,1034,NW,8.94,0,0
2017-1-9,17,0,1032,NW,42.47,0,0
2017-1-10,69,0,1031,cv,2.67,0,0
2017-1-11,81,1,1030,NW,5.37,0,0
2017-1-12,10,1,1038,cv,0.89,0,0
2017-1-13,106,0,1031,cv,2.67,0,0
2017-1-14,168,1,1035,cv,1.78,0,0
2017-1-15,55,2,1032,cv,1.79,0,0
2017-1-16,457,2,1027,NE,5.81,0,0
2017-1-17,115,1,1032,SE,1.79,0,0
2017-1-18,56,5,1034,cv,0.89,0,0
2017-1-19,185,1,1023,cv,0.89,0,0
2017-1-20,9,2,1030,NW,183.27,0,0
2017-1-21,23,2,1033,cv,0.89,0,0
2017-1-22,117,2,1024,cv,0.89,0,0
2017-1-23,240,2,1016,cv,0.89,0,0
2017-1-24,178,5,1018,NW,11.63,0,0
2017-1-25,15,6,1028,NE,14.75,0,0
2017-1-26,35,2,1031,SE,25.94,0,0
2017-1-27,136,3,1017,NW,22.81,0,0
2017-1-28,57,3,1030,SE,8.94,0,0
2017-1-29,132,1,1013,NE,1.79,0,0
2017-1-30,16,7,1020,NE,8.94,0,0
2017-1-31,70,2,1019,cv,0.89,0,0
2017-2-1,152,4,1017,cv,0.89,0,0
2017-2-2,15,10,1014,NW,49.17,0,0
2017-2-3,6,0,1027,NW,71.09,0,0
2017-2-4,11,0,1031,NW,72.87,0,0
2017-2-5,116,1,1029,cv,3.56,0,0
2017-2-6,136,1,1030,cv,0.89,0,0
2017-2-7,94,-4,1028,SE,39.35,7,0
2017-2-8,20,1,1027,NW,7.15,0,0
2017-2-9,14,-3,1037,NW,109.08,0,0
2017-2-10,18,-3,1036,NW,4.92,0,0
2017-2-11,90,-2,1028,cv,1.78,0,0
2017-2-12,36,2,1033,NE,11.18,0,0
2017-2-13,214,-2,1036,SE,64.82,0,0
2017-2-14,218,0,1027,cv,2.67,0,0
2017-2-15,279,1,1025,SE,3.58,0,0
2017-2-16,259,6,1030,cv,0.89,0,0
2017-2-17,88,4,1036,SE,10.28,0,0
2017-2-18,82,1,1033,SE,22.36,0,0
2017-2-19,38,4,1029,NE,1.79,0,0
2017-2-20,221,0,1031,SE,10.73,0,0
2017-2-21,267,2,1028,cv,0.89,0,0
2017-2-22,323,5,1030,SE,1.79,0,0
2017-2-23,270,2,1031,cv,1.78,0,0
2017-2-24,347,6,1028,NW,3.58,0,0
2017-2-25,397,6,1027,cv,2.67,0,0
2017-2-26,551,7,1021,cv,1.78,0,0
2017-2-27,8,7,1031,NE,4.02,0,0
2017-2-28,106,3,1027,SE,7.6,0,0
2017-3-1,14,10,1025,NW,36.65,0,0
2017-3-2,174,6,1023,SE,1.79,0,0
2017-3-3,260,3,1022,NE,1.79,0,0
2017-3-4,8,8,1027,NW,33.97,0,0
2017-3-5,27,7,1028,SE,7.15,0,0
2017-3-6,13,6,1031,NW,4.92,0,0
2017-3-7,26,7,1031,NE,8.94,0,0
2017-3-8,205,6,1023,cv,4.47,0,0
2017-3-9,145,8,1027,cv,4.02,0,0
2017-3-10,96,5,1025,cv,0.89,0,0
2017-3-11,272,11,1016,cv,0.89,0,0
2017-3-12,11,10,1027,NW,4.02,0,0
2017-3-13,15,11,1022,cv,1.79,0,0
2017-3-14,12,13,1020,cv,3.13,0,0
2017-3-15,109,15,1011,SE,1.79,0,0
2017-3-16,73,16,1018,cv,3.13,0,0
2017-3-17,36,19,1011,NW,27.27,0,0
2017-3-18,52,15,1024,SE,13.86,0,0
2017-3-19,79,10,1022,NW,6.26,0,0
2017-3-20,17,16,1027,NW,90.74,0,0
2017-3-21,20,20,1020,SE,6.26,0,0
2017-3-22,37,22,1017,NE,4.92,0,0
2017-3-23,128,18,1025,SE,4.92,0,0
2017-3-24,270,16,1014,cv,4.46,0,0
2017-3-25,226,20,1011,SE,1.79,0,0
2017-3-26,331,19,1011,SE,1.79,0,0
2017-3-27,444,15,1014,SE,15.19,0,0
2017-3-28,100,19,1008,NE,4.02,0,0
2017-3-29,23,21,1014,NW,4.92,0,0
2017-3-30,21,24,1016,cv,1.79,0,0
2017-3-31,254,18,1016,SE,4.92,0,0
2017-4-1,121,21,1013,cv,3.57,0,0
2017-4-2,84,23,1015,NE,21.02,0,0
2017-4-3,14,20,1023,NW,50.96,0,0
2017-4-4,41,20,1011,SE,3.58,0,0
2017-4-5,8,16,1023,NW,21.47,0,0
2017-4-6,39,23,1018,SE,4.02,0,0
2017-4-7,110,21,1013,SE,1.79,0,0
2017-4-8,206,22,1014,cv,3.13,0,0
2017-4-9,62,28,1008,NW,4.92,0,0
2017-4-10,71,17,1023,SE,22.35,0,0
2017-4-11,40,16,1020,SE,1.79,0,0
2017-4-12,114,20,1016,SE,3.13,0,0
2017-4-13,175,21,1018,SE,5.81,0,0
2017-4-14,280,22,1017,SE,3.58,0,0
2017-4-15,93,22,1020,SE,21.9,0,0
2017-4-16,51,19,1014,cv,0.89,0,0
2017-4-17,106,13,1014,NW,9.39,0,0
2017-4-18,170,20,1020,SE,3.13,0,0
2017-4-19,44,14,1022,SE,16.99,0,3
2017-4-20,23,19,1017,NW,21.91,0,0
2017-4-21,23,24,1017,SE,1.79,0,0
2017-4-22,56,26,1014,cv,3.58,0,0
2017-4-23,174,23,1010,SE,89.41,0,0
2017-4-24,121,21,1015,cv,2.68,0,0
2017-4-25,169,24,1017,cv,3.57,0,0
2017-4-26,42,20,1021,NW,6.26,0,0
2017-4-27,20,23,1021,NE,17.88,0,0
2017-4-28,68,24,1019,SE,3.13,0,0
2017-4-29,133,23,1014,cv,1.79,0,0
2017-4-30,135,26,1009,cv,3.13,0,0
2017-5-1,144,26,1007,SE,9.84,0,0
2017-5-2,50,21,1017,NW,180.59,0,0
2017-5-3,121,24,1007,SE,16.1,0,0
2017-5-4,46,19,1016,NW,230.66,0,0
2017-5-5,31,18,1018,cv,3.58,0,0
2017-5-6,103,19,1008,SE,1.79,0,0
2017-5-7,84,24,1007,NW,25.03,0,0
2017-5-8,61,22,1014,SE,4.02,0,0
2017-5-9,69,17,1016,SE,22.8,0,0
2017-5-10,62,18,1017,NE,4.02,0,0
2017-5-11,22,12,1006,NW,9.84,0,15
2017-5-12,23,28,1001,NW,12.52,0,0
2017-5-13,86,26,1000,NE,1.79,0,0
2017-5-14,14,20,1007,NW,203.4,0,0
2017-5-15,69,27,1000,SE,3.13,0,0
2017-5-16,56,27,1008,SE,4.02,0,0
2017-5-17,95,26,1013,SE,4.02,0,0
2017-5-18,132,27,1009,cv,2.67,0,0
2017-5-19,161,24,1005,SE,8.05,0,0
2017-5-20,NA,29,1005,SE,3.13,0,0
2017-5-21,81,27,1006,cv,4.47,0,0
2017-5-22,182,31,1007,SE,9.84,0,0
2017-5-23,85,34,1010,SE,22.35,0,0
2017-5-24,95,20,1008,SE,24.6,0,0
2017-5-25,51,28,1006,NW,38.46,0,0
2017-5-26,19,33,999,SE,18.77,0,0
2017-5-27,13,32,995,NW,67.49,0,0
2017-5-28,15,35,1001,SE,4.02,0,0
2017-5-29,41,37,998,cv,2.68,0,0
2017-5-30,100,33,1007,SE,14.75,0,0
2017-5-31,125,32,1007,cv,1.79,0,0
2017-6-1,29,31,1007,NE,3.13,0,0
2017-6-2,20,26,1012,cv,2.68,0,0
2017-6-3,25,30,1008,SE,1.79,0,0
2017-6-4,48,29,1006,cv,1.79,0,0
2017-6-5,43,31,1005,NW,3.13,0,0
2017-6-6,88,22,1005,NW,11.18,0,1
2017-6-7,3,27,1005,NW,38.45,0,0
2017-6-8,48,28,1001,SE,1.79,0,0
2017-6-9,32,28,1005,NW,1.79,0,0
2017-6-10,80,26,1008,SE,5.81,0,0
2017-6-11,16,27,1011,NE,4.92,0,0
2017-6-12,18,33,1006,NW,1.79,0,0
2017-6-13,25,31,1007,SE,3.13,0,0
2017-6-14,30,29,1007,cv,2.68,0,0
2017-6-15,89,32,1004,SE,6.71,0,0
2017-6-16,191,26,1003,SE,4.92,0,1
2017-6-17,49,24,1002,SE,3.58,0,0
2017-6-18,11,29,1003,cv,0.89,0,0
2017-6-19,181,26,1005,SE,19.21,0,0
2017-6-20,19,27,1007,NW,16.99,0,0
2017-6-21,62,26,1009,cv,1.79,0,0
2017-6-22,40,27,1009,cv,4.46,0,0
2017-6-23,16,30,1008,NW,1.79,0,0
2017-6-24,47,30,1004,SE,4.02,0,0
